id	genes
R01138	(k249_696185_11) or (k249_1486087_3)
R01858	(k249_696185_11) or (k249_1486087_3)
R02300	k249_696185_13
R01268	(k249_702968_3) or (k249_3722152_6)
R00586	(k249_702968_4) or (k249_767246_2)
R01229	(k249_709608_3) or (k249_709608_4) or (k249_981189_7)
R02142	(k249_709608_3) or (k249_709608_4) or (k249_981189_7)
R01658	k249_709608_12
R02003	k249_709608_12
R02061	k249_709608_12
R09248	(k249_709608_12) or (k249_798161_39)
R01570	(k249_715153_1) or (k249_782612_1) or (k249_2893409_5)
R01876	(k249_715153_1) or (k249_782612_1) or (k249_2893409_5)
R02296	(k249_715153_1) or (k249_782612_1) or (k249_2893409_5)
R08222	(k249_715153_1) or (k249_782612_1)
R08230	(k249_715153_1) or (k249_782612_1)
R01057	(k249_715153_2) or (k249_2018966_1)
R02749	(k249_715153_2) or (k249_2018966_1)
R04198	k249_735475_2
R04199	k249_735475_2
R03027	k249_739799_4
R00230	k249_739799_5
R00921	k249_739799_5
R00715	k249_744826_10
R09081	k249_744826_11
R09082	k249_744826_11
R02565	k249_767246_1
R02566	k249_767246_1
R00717	(k249_767246_5) or (k249_3359821_5)
R01388	(k249_767246_5) or (k249_3359821_5)
R03313	(k249_779311_1) or (k249_1599817_2)
R00137	(k249_779311_2) or (k249_779311_3)
R01560	k249_779311_2
R02556	k249_779311_2
R03005	(k249_779311_2) or (k249_779311_3)
R00944	k249_779311_17
R04463	k249_779311_20
R00615	k249_779311_24
R02135	k249_779311_24
R01066	k249_782612_2
R01071	(k249_798161_4) or (k249_943897_8)
R00660	k249_798161_5
R01530	k249_798161_9
R00066	k249_798161_25
R00239	k249_798161_35
R09247	k249_798161_39
R02777	k249_798161_41
R00005	k249_799943_2
R00774	k249_799943_2
R00899	(k249_800257_4) or (k249_1215375_2) or (k249_1448588_14)
R00104	k249_800257_7
R01209	(k249_800257_9) or (k249_1202656_2)
R02739	(k249_800257_9) or (k249_1455622_11) or (k249_1486087_6) or (k249_2970280_9)
R04441	(k249_800257_9) or (k249_1202656_2)
R05070	(k249_800257_9) or (k249_1202656_2)
R00946	k249_800257_12
R09096	k249_800257_12
R09365	k249_800257_12
R10219	k249_800257_12
R10243	k249_800257_12
R05627	(k249_800257_17) or (k249_822466_11) or (k249_916283_5) or (k249_1599817_1)
R01130	k249_805088_6
R01134	k249_805088_6
R08240	k249_805088_6
R03035	k249_805088_8
R05636	(k249_805868_11) or (k249_1078230_1)
